model,coeff.name,pa,pe,coeff.val,coeff.se,conf.int,p.value,w.name
gpt-4o-2024-11-20,Conger's Kappa,0.99,0.505,0.98,0.005,"(0.97,0.991)",0,unweighted
gpt-4o-2024-11-20,Fleiss' Kappa,0.99,NA,NA,NA,"(NaN,NaN)",NA,unweighted
gpt-4o-2024-11-20,AC1,0.99,NA,NA,NA,"(NaN,NaN)",NA,unweighted
gpt-4o-2024-11-20,Brennan-Prediger,0.99,0.5,0.981,0.005,"(0.97,0.991)",0,unweighted
gpt-4o-2024-11-20,Krippendorff's Alpha,0.99,0.505,0.98,0.003,"(0.974,0.987)",0,unweighted
gpt-4o-mini-2024-07-18,Conger's Kappa,0.994,0.5,0.988,0.003,"(0.982,0.993)",0,unweighted
gpt-4o-mini-2024-07-18,Fleiss' Kappa,0.994,0.5,0.988,0.003,"(0.982,0.993)",0,unweighted
gpt-4o-mini-2024-07-18,AC1,0.994,0.5,0.988,0.003,"(0.982,0.993)",0,unweighted
gpt-4o-mini-2024-07-18,Brennan-Prediger,0.994,0.5,0.988,0.003,"(0.982,0.993)",0,unweighted
gpt-4o-mini-2024-07-18,Krippendorff's Alpha,0.994,0.5,0.988,0.003,"(0.982,0.993)",0,unweighted
llama3.2:1B,Conger's Kappa,0.964,0.504,0.928,0.007,"(0.914,0.942)",0,unweighted
llama3.2:1B,Fleiss' Kappa,0.964,0.504,0.928,0.007,"(0.914,0.942)",0,unweighted
llama3.2:1B,AC1,0.964,0.496,0.929,0.007,"(0.916,0.943)",0,unweighted
llama3.2:1B,Brennan-Prediger,0.964,0.5,0.928,0.007,"(0.915,0.942)",0,unweighted
llama3.2:1B,Krippendorff's Alpha,0.964,0.504,0.928,0.007,"(0.915,0.942)",0,unweighted
llama3.2:3B,Conger's Kappa,0.974,0.501,0.948,0.006,"(0.936,0.96)",0,unweighted
llama3.2:3B,Fleiss' Kappa,0.974,0.501,0.948,0.006,"(0.936,0.96)",0,unweighted
llama3.2:3B,AC1,0.974,0.499,0.948,0.006,"(0.936,0.96)",0,unweighted
llama3.2:3B,Brennan-Prediger,0.974,0.5,0.948,0.006,"(0.936,0.96)",0,unweighted
llama3.2:3B,Krippendorff's Alpha,0.975,0.501,0.949,0.006,"(0.937,0.961)",0,unweighted
phi4-mini,Conger's Kappa,0.988,0.501,0.975,0.004,"(0.967,0.984)",0,unweighted
phi4-mini,Fleiss' Kappa,0.988,NA,NA,NA,"(NaN,NaN)",NA,unweighted
phi4-mini,AC1,0.988,NA,NA,NA,"(NaN,NaN)",NA,unweighted
phi4-mini,Brennan-Prediger,0.988,0.5,0.976,0.004,"(0.967,0.984)",0,unweighted
phi4-mini,Krippendorff's Alpha,0.988,0.501,0.975,0.004,"(0.968,0.983)",0,unweighted
phi4:latest,Conger's Kappa,0.988,0.501,0.975,0.004,"(0.967,0.984)",0,unweighted
phi4:latest,Fleiss' Kappa,0.988,NA,NA,NA,"(NaN,NaN)",NA,unweighted
phi4:latest,AC1,0.988,NA,NA,NA,"(NaN,NaN)",NA,unweighted
phi4:latest,Brennan-Prediger,0.988,0.5,0.976,0.004,"(0.967,0.984)",0,unweighted
phi4:latest,Krippendorff's Alpha,0.988,0.501,0.975,0.004,"(0.968,0.983)",0,unweighted
